w1,w2,w3
0.27743,0.0058135,0.050653
0.278,0.0058868,0.050808
0.26351,0.0053572,0.047975
0.27367,0.0070365,0.051055
0.31596,0.014767,0.06449
0.35369,0.022924,0.077529
0.33409,0.018038,0.070213
0.27378,0.0085908,0.05237
0.25848,0.0059857,0.047669
0.35786,0.022653,0.077991
0.35192,0.021802,0.0763
0.28765,0.0088674,0.05489
0.27591,0.0083839,0.052549
0.26065,0.0043354,0.04665
0.33802,0.013394,0.066985
0.31791,0.010838,0.061532
0.34295,0.021927,0.074923
0.28079,0.0090386,0.053901
0.30431,0.010796,0.059251
0.31808,0.013898,0.064113
0.28862,0.0096183,0.055678
0.35695,0.024291,0.079209
0.25406,0.0069875,0.047776
0.40275,0.039561,0.099519
0.48487,0.095872,0.16009
0.26616,0.0073021,0.050035
0.31289,0.014726,0.063948
0.30071,0.010776,0.05864
0.36034,0.023842,0.079393
0.37219,0.025001,0.082316
0.35101,0.017347,0.072429
0.36751,0.025574,0.082023
0.26673,0.0058375,0.048907
0.32664,0.01625,0.067491
0.31555,0.012595,0.062608
0.29278,0.0085423,0.055465
0.3003,0.0087001,0.05684
0.35433,0.019829,0.075051
0.29926,0.010645,0.058292
0.3027,0.0094356,0.05785
0.39496,0.031988,0.09191
0.31929,0.0054276,0.057242
0.35427,0.020661,0.075734
0.37661,0.027292,0.084959
0.3149,0.013943,0.063627
0.324,0.01374,0.06496
0.30582,0.0095571,0.058466
0.29163,0.010888,0.057235
0.25874,0.0072175,0.048741
0.30661,0.013663,0.062026
0.33137,0.014954,0.06719
0.30741,0.010949,0.059891
0.38831,0.032975,0.091635
0.35713,0.021208,0.076664
0.36092,0.024509,0.080046
0.30635,0.013304,0.061682
0.24757,0.0055906,0.045538
0.33398,0.015316,0.067923
0.31872,0.014231,0.064498
0.3474,0.016953,0.071505
0.34465,0.017706,0.07168
0.37682,0.027985,0.085573
0.33223,0.012725,0.065471
0.24837,0.0050801,0.045244
0.34655,0.016367,0.070875
0.28092,0.0096627,0.054444
0.27398,0.0081865,0.052065
0.29667,0.010722,0.057928
0.37727,0.027245,0.085029
0.38939,0.030237,0.089528
0.39891,0.034975,0.095055
0.36414,0.024937,0.080934
0.40914,0.042704,0.1032
0.3434,0.018429,0.072077
0.41358,0.043369,0.10448
0.37035,0.024265,0.081398
0.34678,0.020911,0.074707
0.33485,0.015641,0.068338
0.34619,0.017322,0.071613
0.39021,0.030992,0.090294
0.37284,0.029073,0.085824
0.40931,0.043549,0.10393
0.37457,0.028583,0.085701
0.29136,0.0092571,0.055829
0.40342,0.039594,0.099656
0.3979,0.037663,0.097133
0.27582,0.0083128,0.052475
0.35297,0.022753,0.077268
0.4257,0.054192,0.11552
0.2802,0.0085006,0.053355
0.43534,0.057647,0.12
0.33595,0.017013,0.069665
0.4059,0.040902,0.10116
0.35735,0.022796,0.078027
0.4076,0.03861,0.099525
0.40465,0.039589,0.099855
0.33388,0.016132,0.068588
0.37171,0.027393,0.084236
0.34684,0.018585,0.072775
0.3058,0.014091,0.062248
0.33074,0.012128,0.064726
0.34521,0.017212,0.07136
0.33067,0.017223,0.068968
0.37117,0.026565,0.083455
0.34184,0.018594,0.071957
0.32063,0.013563,0.064256
0.32475,0.01559,0.066628
0.41513,0.044954,0.10606
0.38398,0.033587,0.091432
0.48066,0.092692,0.15674
0.3589,0.023554,0.078915
0.43557,0.05792,0.12026
0.34755,0.019843,0.073943
0.3829,0.027609,0.086262
0.30973,0.010636,0.060012
0.32518,0.010441,0.0624
0.30996,0.011085,0.060424
0.38,0.029187,0.087101
0.37752,0.025074,0.083259
0.31974,0.016148,0.066267
0.40661,0.039153,0.099814
0.37584,0.027218,0.084771
0.34669,0.014934,0.069702
0.3713,0.026195,0.083167
0.37984,0.031292,0.088832
0.43396,0.059164,0.12104
0.42213,0.050131,0.11154
0.36606,0.024373,0.08078
0.43705,0.060412,0.12259
0.32373,0.015938,0.066751
0.29673,0.009181,0.056652
0.31123,0.010457,0.060111
0.34388,0.018927,0.072572
0.32326,0.012288,0.063626
0.39912,0.037477,0.09718
0.42701,0.049563,0.11187
0.44513,0.063664,0.12664
0.43744,0.057636,0.12034
0.36124,0.023856,0.079553
0.27488,0.0079168,0.051989
0.41049,0.043086,0.10374
0.40535,0.035271,0.096365
0.41338,0.043786,0.1048
0.40545,0.0401,0.10041
0.3948,0.03311,0.09282
0.29542,0.0088053,0.056121
0.27638,0.0068107,0.051313
0.3639,0.019221,0.076123
